,trad,_var,_group,_sound,_voice,bax,poly,hxs,yugan,yugun,star,unt,untF
1,帮,幫,帮,重唇,全清,p,p,p,b,b,p,p,p
,滂,,帮,重唇,次清,ph,ph,pʻ,p,p,ph,pʰ,pʰ
,並,并,帮,重唇,全浊,b,b,b,b,b,b,b,b
,明,,帮,重唇,次浊,m,m,m,m,m,m,m,m
1,端,,端,舌头,全清,t,t,t,d,d,t,t,t
,透,,端,舌头,次清,th,th,tʻ,t,t,th,tʰ,tʰ
,定,,端,舌头,全浊,d,d,d,d,d,d,d,d
,泥,,端,舌头,次浊,n,n,n,n,n,n,n,n
1,知,,知,舌上,全清,tr,tr,ʈ,ď,dh,ṭ,ʈ,ʈ
,彻,徹,知,舌上,次清,trh,thr,ʈʻ,ť,th,ṭh,ʈʰ,ʈʰ
,澄,,知,舌上,全浊,dr,dr,ɖ,ď,dh,ḍ,ɖ,ɖ
,娘,孃,知,舌上,次浊,nr,nr,ɳ,ň,nh,ṇ,ɳ,ɳ
1,精,,精,齿头,全清,ts,c,ts,z,z,c,t͡s,t͡s
,清,,精,齿头,次清,tsh,ch,tsʻ,c,c,ch,t͡sʰ,t͡sʰ
,从,從,精,齿头,全浊,dz,z,dz,z,z,ʒ,d͡z,d͡z
,心,,精,齿头,全清,s,s,s,s,s,s,s,s
,邪,,精,齿头,全浊,z,zs,z,ƶ,sz,z,z,z
1,庄,莊,庄,正齿,全清,tsr,cr,tʂ,ǰ,jh,c̣,t͡ʂ,ʈ͡ʂ
,初,,庄,正齿,次清,tsrh,chr,tʂʻ,č,ch,c̣h,t͡ʂʰ,ʈ͡ʂʰ
,崇,,庄,正齿,全浊,dzr,zr,dʐ,ǰ,jh,ʒ̣,d͡ʐ,ɖ͡ʐ
,生,,庄,正齿,全清,sr,sr,ʂ,š,sh,ṣ,ʂ,ʂ
,俟,,庄,正齿,全浊,zr,zsr,ʐ,ž,zh,ẓ,ʐ,ʐ
1,章,,章,正齿,全清,tsy,cj,tɕ,j́,jy,ć,t͡ɕ,t͡ɕ
,昌,,章,正齿,次清,tsyh,chj,tɕʻ,ć,cy,ćh,t͡ɕʰ,t͡ɕʰ
,常,,章,正齿,全浊,dzy,zj,dʑ,j́,jy,ʒ́,d͡ʑ,d͡ʑ
,书,書,章,正齿,全清,sy,sj,ɕ,ś,sy,ś,ɕ,ɕ
,船,,章,正齿,全浊,zy,zsj,ʑ,ź,zy,ź,ʑ,ʑ
1,见,見,见,牙,全清,k,k,k,g,g,k,k,k
,溪,谿,见,牙,次清,kh,kh,kʻ,k,k,kh,kʰ,kʰ
,群,羣,见,牙,全浊,g,g,ɡ,g,g,g,ɡ,g
,疑,,见,牙,次浊,ng,ng,ŋ,ŋ,ng,ŋ,ŋ,ŋ
1,晓,曉,影,喉,全清,x,h,x,h,h,x,h,x
,匣,,影,喉,全浊,h,gh,ɣ,ǥ,gh,ɣ,ɦ,ɣ
,影,,影,喉,全清,',q,ʔ,,,ʔ,ʔ,ʔ
,云,雲*,影,喉,次浊,h,,w,ǥ,gh,ɦ,,ɰ
,以,,以,喉,次浊,y,j,j,j,j,j,j,j
1,来,來,来,半舌,次浊,l,l,l,l,l,l,l,l
1,日,,日,半齿,次浊,ny,nj,ȵ,ń,ń,ń,ɲ,ȵ
1,非*,,,,全清,,,,ḃ,bf,,p͡f,p͆͡f
,敷*,,,,次清,,,,ṗ,pf,,p͡fʰ,p͆͡fʰ
,奉*,,,,全浊,,,,ḃ,bf,,b͡v,b̪͡v
,微*,,,,次浊,,,,v,v,,ʋ̃,ɱ
1,照*,,,,全清,,,,ǰ,jh,,t͡ʂ,ʈ͡ʂ
,穿*,,,,次清,,,,č,ch,,t͡ʂʰ,ʈ͡ʂʰ
,床*,,,,全浊,,,,ǰ,jh,,d͡ʐ,ɖ͡ʐ
,审*,,,,全清,,,,š,sh,,ʂ,ʂ
,禅*,,,,全浊,,,,ž,zh,,ʐ,ʐ
1,喻*,,,,次浊,,,,j,j,,j,j
